title,release_date,rating,director,writer,genres,runtime,original_language,budget,revenue
,28/10/2016 (US),61,Ron Howard,,"Gizem,Gerilim,Aksiyon",2h 1m,İngilizce,"$75,000,000.00","$220,000,000.00"
İngiliz Hasta,14/11/1996 (US),72,Anthony Minghella,,"Dram,Romantik,Savaş",2h 42m,İngilizce,"$27,000,000.00","$231,976,425.00"
Siyah Giyen Adamlar 3,25/05/2012 (TR),65,Barry Sonnenfeld,,"Aksiyon,Komedi,Bilim-Kurgu",1h 46m,İngilizce,"$225,000,000.00","$624,000,000.00"
Sihirli Ejder,11/06/2021 (US),79,Chris Appelhans,Chris Appelhans,"Animasyon,Aile,Komedi,Fantastik",1h 39m,İngilizce,-,"$25,860,000.00"
Dev Avcısı Jack,01/03/2013 (US),58,Bryan Singer,,"Fantastik,Aksiyon,Macera,Dram",1h 54m,İngilizce,"$195,000,000.00","$197,700,000.00"
Maymun Kral: Yeniden Doğuş,02/04/2021 (CN),72,Wang Yunfei,,"Animasyon,Aksiyon,Fantastik,Aile",1h 35m,Çince,"$20,000,000.00",-
Chucky'nin Gelini,16/10/1998 (US),60,Ronny Yu,,"Komedi,Korku,Romantik",1h 29m,İngilizce,"$25,000,000.00","$50,671,850.00"
Harvey,21/12/1950 (US),77,Henry Koster,,"Komedi,Fantastik",1h 44m,İngilizce,-,-
47 Ronin,27/12/2013 (TR),62,Carl Rinsch,,"Dram,Aksiyon,Fantastik",1h 59m,İngilizce,"$175,000,000.00","$151,783,839.00"
Drakula,14/02/1931 (US),72,Tod Browning,Tod Browning,Korku,1h 14m,İngilizce,"$355,000.00","$700,000.00"
Dinozor,19/05/2000 (US),65,Ralph Zondag,,"Animasyon,Aile,Macera",1h 22m,İngilizce,"$127,500,000.00","$354,248,063.00"
Uyanışlar,10/05/1991 (TR),78,Penny Marshall,,Dram,2h,İngilizce,"$31,000,000.00","$52,096,475.00"
,11/02/2022 (US),62,Mark Williams,Mark Williams,"Aksiyon,Gerilim,Dram,Macera",1h 44m,İngilizce,"$43,000,000.00","$15,902,207.00"
Skyfall,01/11/2012 (TR),72,Sam Mendes,,"Aksiyon,Macera,Gerilim",2h 23m,İngilizce,"$200,000,000.00","$1,142,471,295.00"
,12/04/2024 (TR),66,Ned Benson,Ned Benson,"Dram,Müzik,Romantik",1h 34m,İngilizce,-,-
Hızlı ve Öfkeli 9,02/07/2021 (TR),71,Justin Lin,,"Aksiyon,Macera,Suç",2h 23m,İngilizce,"$200,000,000.00","$726,229,501.00"
Esrarengiz Canavar,01/12/2022 (TR),66,Roar Uthaug,Espen Aukan,"Fantastik,Aksiyon,Macera",1h 44m,Norveççe,-,-
Ayı Kardeş 2,17/08/2006 (US),66,Ben Gluck,,"Macera,Animasyon,Aile",1h 13m,İngilizce,-,-
,05/09/2014 (US),60,Casey La Scala,Casey La Scala,"Gerilim,Korku",1h 28m,İngilizce,-,"$1,169,603.00"
,27/04/2012 (TR),66,Drew Goddard,,"Korku,Gizem,Gerilim",1h 35m,İngilizce,"$30,000,000.00","$71,000,000.00"
Dragon Ball Z: Soğutucunun Dönüşü,07/03/1992 (JP),65,Daisuke Nishio,Takao Koyama,"Aksiyon,Animasyon,Bilim-Kurgu",46m,Japonca,-,"$19,581,369.00"
Talihsiz Serüvenler Dizisi,28/01/2005 (TR),68,Brad Silberling,,"Macera,Komedi,Aile",1h 48m,İngilizce,"$140,000,000.00","$209,073,645.00"
Taciz,09/12/1994 (US),63,Barry Levinson,,"Gerilim,Dram,Suç",2h 7m,İngilizce,"$55,000,000.00","$214,015,089.00"
,25/01/2024 (AE),100,Jim Miller,Michael Vogel,"Aile,Animasyon",45m,İngilizce,-,-
,19/11/1965 (TR),71,Terence Young,,"Aksiyon,Gerilim,Macera",1h 55m,İngilizce,"$2,500,000.00","$78,900,000.00"
,29/12/2023 (TR),67,Todd Haynes,,"Dram,Komedi",1h 57m,İngilizce,"$20,000,000.00","$4,232,370.00"
Ghost Sweeper Mikami,04/12/1994 (JP),66,Atsutoshi Umezawa,Takashi Shiina,"Animasyon,Aksiyon,Macera,Komedi,Fantastik,Korku",1h,Japonca,-,-
Dragon Ball Z: Kudret Ağacı,07/06/1990 (JP),65,Daisuke Nishio,,"Aksiyon,Animasyon,Bilim-Kurgu",1h 1m,Japonca,-,"$15,000,000.00"
The Loch Ness Horror,12/02/2024 (GB),62,Tyler-James,Tyler-James,"Korku,Bilim-Kurgu",1h 19m,İngilizce,-,-
Uçak,27/01/2023 (TR),70,Jean-François Richet,,Aksiyon,1h 47m,İngilizce,"$25,000,000.00","$51,000,000.00"
Tailor,15/11/2020 (GR),73,Sonia Liza Kenterman,,"Komedi,Dram,Aile",1h 40m,"Yunanca, Çağdaş (1453-)",-,-
,20/04/2018 (US),59,Jay Chandrasekhar,Jay Chandrasekhar,"Komedi,Suç,Gizem",1h 39m,İngilizce,"$13,500,000.00","$31,626,386.00"
Yarından Sonra,28/05/2004 (TR),65,Roland Emmerich,,"Aksiyon,Macera,Bilim-Kurgu,Gerilim",2h 4m,İngilizce,"$125,000,000.00","$552,639,571.00"
Hırsızlar Ordusu,27/10/2021 (US),68,Matthias Schweighöfer,,"Aksiyon,Gerilim,Suç,Komedi",2h 9m,İngilizce,"$30,000,000.00","$46,900,000.00"
Resimdeki Hayalet,09/09/2004 (TH),73,Banjong Pisanthanakun,,"Korku,Gizem,Gerilim",1h 37m,Taylandça,"$125,000.00",-
Sivil Cephe,08/10/2014 (TR),70,Gary Fleder,,"Aksiyon,Gerilim",1h 40m,İngilizce,"$22,000,000.00","$51,695,362.00"
,20/10/2023 (SE),64,Simon Sandquist,Henry Stenberg,Korku,1h 33m,İsveçce,"$2,250,000.00","$633,385.00"
Köpekbalığı Hikayesi,05/11/2004 (TR),60,Rob Letterman,Lona Williams,"Animasyon,Aksiyon,Komedi,Aile",1h 30m,İngilizce,"$75,000,000.00","$367,300,000.00"
Hırsızlar Kralı,03/08/1955 (US),73,Alfred Hitchcock,,"Gizem,Romantik,Gerilim",1h 46m,İngilizce,"$2,500,000.00","$8,750,000.00"
Manhattan'da Sihir,20/11/2007 (US),68,Kevin Lima,,"Komedi,Aile,Fantastik,Romantik",1h 47m,İngilizce,"$85,000,000.00","$340,487,652.00"
Kanunsuz Josey Wales,14/07/1976 (US),74,Clint Eastwood,,Vahşi Batı,2h 15m,İngilizce,"$3,700,000.00","$31,800,000.00"
Cehennem Melekleri 2,08/08/2012 (US),63,Simon West,,"Aksiyon,Macera,Gerilim",1h 43m,İngilizce,"$100,000,000.00","$315,000,000.00"
,23/02/2001 (TR),77,Robert Zemeckis,William Broyles Jr.,"Macera,Dram",2h 23m,İngilizce,"$90,000,000.00","$429,632,142.00"
RoboCop,12/02/2014 (US),59,José Padilha,,"Bilim-Kurgu,Aksiyon,Suç",1h 57m,İngilizce,"$120,000,000.00","$242,688,965.00"
Twilight of the Warriors: Walled In,30/04/2024 (HK),74,Soi Cheang,,"Aksiyon,Gerilim",2h 5m,Cantonese,"$38,400,000.00","$46,366,411.00"
Dragon Ball Z: Broly – İkinci Geliş,12/03/1994 (JP),67,Shigeyasu Yamauchi,,"Animasyon,Aksiyon,Bilim-Kurgu",48m,Japonca,-,"$24,200,000.00"
Işıkyılı,17/06/2022 (TR),70,Angus MacLane,,"Animasyon,Bilim-Kurgu,Aile,Macera",1h 45m,İngilizce,"$200,000,000.00","$226,400,000.00"
Ölümcül Makineler,07/12/2018 (TR),62,Christian Rivers,,"Macera,Bilim-Kurgu",2h 9m,İngilizce,"$100,000,000.00","$83,869,818.00"
Rocky III,14/10/1983 (TR),69,Sylvester Stallone,Sylvester Stallone,Dram,1h 39m,İngilizce,"$17,000,000.00","$270,000,000.00"
Elveda Emmanuelle,20/06/1978 (FR),44,François Leterrier,François Leterrier,"Dram,Romantik",1h 40m,Fransızca,-,-
Ant-Man ve Wasp,06/07/2018 (TR),69,Peyton Reed,,"Aksiyon,Macera,Bilim-Kurgu",1h 59m,İngilizce,"$140,000,000.00","$622,674,139.00"
Çılgın Marslılar!,13/12/1996 (US),64,Tim Burton,,"Komedi,Fantastik,Bilim-Kurgu",1h 46m,İngilizce,"$70,000,000.00","$101,371,017.00"
In the Land of Saints and Sinners,29/03/2024 (US),65,Robert Lorenz,Terry Loane,"Aksiyon,Gerilim",1h 46m,İngilizce,-,-
Raptiye,26/07/1996 (US),65,Peter Farrelly,Barry Fanaro,Komedi,1h 54m,İngilizce,"$27,000,000.00","$25,023,434.00"
Beowulf: Ölümsüz Savaşçı,05/11/2007 (US),59,Robert Zemeckis,Robert Zemeckis,"Macera,Aksiyon,Animasyon",1h 55m,İngilizce,"$70,000,000.00","$195,735,876.00"
,12/08/2022 (US),69,James Bird,James Bird,"Bilim-Kurgu,Gizem,Gerilim",1h 46m,İngilizce,-,-
Forbidden Zone,15/03/1980 (US),63,Richard Elfman,,"Müzik,Komedi,Fantastik",1h 14m,İngilizce,"$100,000.00",-
Ölüm Yarışı 4: Anarşinin Ötesinde,02/10/2018 (US),62,Don Michael Paul,,"Aksiyon,Gerilim,Bilim-Kurgu",1h 51m,İngilizce,-,-
Testere 2,11/11/2005 (TR),66,Darren Lynn Bousman,,Korku,1h 33m,İngilizce,"$4,000,000.00","$147,748,505.00"
Mary ve Charlotte’ın Hikâyesi,17/05/2021 (GB),70,Francis Lee,Francis Lee,"Romantik,Dram",2h,İngilizce,-,"$1,396,905.00"
,16/08/1995 (US),82,Bryan Singer,Christopher McQuarrie,"Dram,Suç,Gerilim",1h 46m,İngilizce,"$6,000,000.00","$23,300,000.00"
Last Seen Alive,03/06/2022 (US),65,Brian Goodman,Marc Frydman,"Aksiyon,Gerilim",1h 35m,İngilizce,-,"$5,950,199.00"
Sürücü,10/02/2012 (TR),76,Nicolas Winding Refn,,"Dram,Gerilim,Suç",1h 40m,İngilizce,"$15,000,000.00","$78,100,000.00"
Dad or Mom,30/11/2023 (MX),70,Ernesto Contreras,Enrique Vázquez,Komedi,1h 32m,İspanyolca; Kastilyaca,-,-
Korkunç Bir Film,06/10/2000 (TR),64,Keenen Ivory Wayans,,Komedi,1h 28m,İngilizce,"$19,000,000.00","$278,000,000.00"
Kabuktaki Hayalet,18/11/1995 (JP),79,Mamoru Oshii,,"Aksiyon,Animasyon,Bilim-Kurgu",1h 23m,Japonca,"$3,000,000.00","$515,905.00"
,25/12/2019 (US),80,Sam Mendes,,"Savaş,Aksiyon,Dram,Tarih",1h 59m,İngilizce,"$100,000,000.00","$394,638,258.00"
Hadi Gidelim,11/09/2020 (TR),77,Dan Scanlon,,"Aile,Animasyon,Macera,Komedi,Fantastik",1h 43m,İngilizce,"$200,000,000.00","$141,940,042.00"
Gazap Ateşi,17/09/2004 (TR),75,Tony Scott,,"Aksiyon,Dram,Gerilim",2h 26m,İngilizce,"$70,000,000.00","$130,300,000.00"
Sosyete Polisi 3,24/05/1994 (US),59,John Landis,,"Aksiyon,Komedi,Suç",1h 45m,İngilizce,"$50,000,000.00","$119,208,989.00"
Batman Dönüyor,19/06/1992 (US),69,Tim Burton,,"Aksiyon,Fantastik",2h 6m,İngilizce,"$80,000,000.00","$280,000,000.00"
,26/03/1999 (US),60,Ron Howard,,Komedi,2h 2m,İngilizce,"$80,000,000.00",-
Mazlumlar,25/01/2024 (US),70,Charles Stone III,Isaac Schamis,Komedi,1h 36m,İngilizce,"$30,000,000.00",-
Boy Kills World,26/04/2024 (TR),64,Moritz Mohr,Tyler Burton Smith,"Aksiyon,Gerilim,Suç",1h 55m,İngilizce,"$18,000,000.00","$3,018,134.00"
,31/03/2006 (TR),79,James McTeigue,,"Aksiyon,Gerilim,Bilim-Kurgu",2h 14m,İngilizce,"$54,000,000.00","$132,511,035.00"
Arınma Gecesi: Anarşi,23/07/2014 (FR),66,James DeMonaco,James DeMonaco,"Korku,Gerilim",1h 44m,İngilizce,"$9,000,000.00","$111,928,365.00"
,07/10/2022 (TR),61,David O. Russell,David O. Russell,"Gizem,Komedi,Dram",2h 14m,İngilizce,"$80,000,000.00","$31,245,810.00"
Jiu Jitsu,20/11/2020 (US),48,Dimitri Logothetis,Dimitri Logothetis,"Aksiyon,Bilim-Kurgu,Fantastik",1h 42m,İngilizce,"$23,000,000.00","$99,924.00"
Düzenbazlar,10/05/2019 (US),62,Chris Addison,,"Komedi,Suç",1h 32m,İngilizce,"$21,000,000.00","$97,400,000.00"
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,30/08/2014 (JP),71,Naoyuki Ito,Jin Tanaka,"Animasyon,Aksiyon,Macera,Komedi,Fantastik",1h 47m,Japonca,-,-
,20/05/1994 (TR),71,Kenny Ortega,,"Fantastik,Komedi,Aile",1h 36m,İngilizce,"$28,000,000.00","$50,800,000.00"
Yenilmez 2,11/04/2006 (US),73,Isaac Florentine,,"Aksiyon,Suç,Gerilim",1h 33m,İngilizce,"$8,000,000.00","$1,361.00"
King Kong,15/03/1933 (US),76,Merian C. Cooper,Leon Gordon,"Macera,Fantastik,Korku",1h 44m,İngilizce,"$672,000.00","$10,000,000.00"
Işıklar Sönünce,22/07/2016 (TR),63,David F. Sandberg,David F. Sandberg,Korku,1h 21m,İngilizce,"$4,900,000.00","$148,868,835.00"
Nanny McPhee ve Büyük Patlama,20/08/2010 (US),63,Susanna White,,"Komedi,Fantastik,Aile",1h 49m,İngilizce,"$35,000,000.00","$93,251,121.00"
The Last Blockbuster,15/12/2020 (US),64,Taylor Morden,Zeke Kamm,Belgesel,1h 26m,İngilizce,"$50,000.00",-
İlk Gün,05/10/2001 (US),75,Antoine Fuqua,,"Aksiyon,Suç,Dram",2h 2m,İngilizce,"$45,000,000.00","$104,900,000.00"
Liseli Polisler,08/06/2012 (TR),69,Christopher Miller,,"Aksiyon,Komedi,Suç",1h 49m,İngilizce,"$42,000,000.00","$201,585,328.00"
,03/05/2024 (US),44,Jane Schoenbrun,,"Dram,Korku",1h 40m,İngilizce,"$10,000,000.00","$367,765.00"
,09/02/2024 (CA),66,Sherren Lee,,"Romantik,Dram",1h 40m,İngilizce,-,-
İhtiyarlara Yer Yok,08/11/2007 (US),79,Joel Coen,,"Suç,Dram,Gerilim",2h 2m,İngilizce,"$25,000,000.00","$171,627,166.00"
Yarın Asla Ölmez,11/12/1997 (GB),64,Roger Spottiswoode,,"Macera,Aksiyon,Gerilim",1h 59m,İngilizce,"$110,000,000.00","$333,011,068.00"
Efsane,02/10/2015 (TR),70,Brian Helgeland,Brian Helgeland,"Suç,Gerilim",2h 11m,İngilizce,"$25,000,000.00","$42,972,994.00"
Şüphe,28/12/2021 (US),64,Jamie Patterson,Christian J. Hearn,Korku,1h 34m,İngilizce,-,-
Son Durak 5,12/08/2011 (US),61,Steven Quale,,"Korku,Gizem",1h 32m,İngilizce,"$47,000,000.00","$157,900,000.00"
,08/10/2004 (TR),69,Alex Proyas,,"Aksiyon,Bilim-Kurgu",1h 55m,İngilizce,"$120,000,000.00","$347,234,916.00"
Ninja'nın İntikamı,10/02/2010 (FR),66,James McTeigue,J. Michael Straczynski,"Aksiyon,Macera,Gerilim",1h 39m,İngilizce,"$40,000,000.00","$61,601,280.00"
,06/03/1993 (JP),72,Shigeyasu Yamauchi,Takao Koyama,"Animasyon,Bilim-Kurgu,Aksiyon",1h 10m,Japonca,-,"$21,658,982.00"
Cherry,26/02/2021 (US),74,Anthony Russo,,"Dram,Suç",2h 30m,İngilizce,"$40,000,000.00",-
İlk Yenilmez: Kaptan Amerika,22/07/2011 (US),70,Joe Johnston,,"Aksiyon,Macera,Bilim-Kurgu",2h 6m,İngilizce,"$140,000,000.00","$370,569,774.00"
,06/07/1944 (US),81,Billy Wilder,,"Suç,Gerilim",1h 47m,İngilizce,"$927,262.00","$2,500,000.00"
Amerikan Pastası 5: Çıplak Yol,21/12/2006 (US),55,Joe Nussbaum,Erik Lindsay,Komedi,1h 37m,İngilizce,-,-
,28/06/2024 (TR),76,Rodolfo Riva Palacio Alatriste,,"Animasyon,Macera,Komedi,Aile",1h 31m,İspanyolca; Kastilyaca,-,-
300: Spartalı,16/03/2007 (TR),72,Zack Snyder,,"Aksiyon,Macera,Savaş",1h 56m,İngilizce,"$65,000,000.00","$456,082,343.00"
,17/02/2006 (TR),56,Karyn Kusama,,"Bilim-Kurgu,Aksiyon,Gerilim",1h 33m,İngilizce,"$62,000,000.00","$53,321,673.00"
Kadın Kokusu,12/03/1993 (TR),78,Martin Brest,,Dram,2h 37m,İngilizce,"$31,000,000.00","$134,100,000.00"
Korkunç Bir Film 4,04/08/2006 (TR),55,David Zucker,,Komedi,1h 23m,İngilizce,"$45,000,000.00","$178,300,000.00"
Yüzde 99 Ölüm,25/08/1979 (IT),66,Lucio Fulci,Elisa Briganti,Korku,1h 31m,İtalyanca,-,-
Matilda Müzikali,25/11/2022 (GB),68,Matthew Warchus,,"Aile,Komedi,Fantastik",1h 57m,İngilizce,"$25,000,000.00","$35,600,000.00"
Sister Emanuelle,10/08/1977 (IT),53,Giuseppe Vari,Gerolamo Collogno,"Dram,Suç,Korku",1h 34m,İtalyanca,-,-
Kırmızı Bülten,12/11/2021 (TR),68,Rawson Marshall Thurber,Rawson Marshall Thurber,"Aksiyon,Komedi,Suç",1h 57m,İngilizce,"$160,000,000.00","$178,143.00"
Aşk Zamanı,28/09/2001 (TR),81,Wong Kar-wai,,"Dram,Romantik",1h 38m,Cantonese,"$150,000.00","$14,204,632.00"
El Camino: Bir Breaking Bad Filmi,11/10/2019 (TR),70,Vince Gilligan,Vince Gilligan,"Suç,Dram,Gerilim",2h 2m,İngilizce,-,-
Yaşam Şifresi,08/04/2011 (TR),73,Duncan Jones,Ben Ripley,"Gerilim,Bilim-Kurgu,Gizem",1h 34m,İngilizce,"$32,000,000.00","$147,332,697.00"
Jules,11/08/2023 (US),73,Marc Turtletaub,Gavin Steckler,"Bilim-Kurgu,Komedi,Dram",1h 27m,İngilizce,-,"$2,000,000.00"
Adalet Peşinde,01/01/2010 (TR),74,F. Gary Gray,Kurt Wimmer,"Dram,Suç,Gerilim",1h 49m,İngilizce,"$53,000,000.00","$127,900,000.00"
Titanların Savaşı,02/04/2010 (US),59,Louis Leterrier,,"Macera,Fantastik,Aksiyon",1h 46m,İngilizce,"$125,000,000.00","$493,200,000.00"
Down,01/02/2019 (US),68,Daniel Stamm,Kent Kubena,"Korku,Dram,Gerilim,TV film",1h 22m,İngilizce,$1.00,-
,22/03/1984 (US),67,Hugh Wilson,,"Komedi,Suç",1h 35m,İngilizce,"$4,500,000.00","$81,198,894.00"
Sizi Rahatsız Ettiğim İçin Özür Dilerim,06/07/2018 (US),68,Boots Riley,,"Fantastik,Bilim-Kurgu,Komedi",1h 51m,İngilizce,"$3,200,000.00","$18,200,000.00"
Emmanuelle IV,15/02/1984 (FR),47,Francis Leroi,Francis Leroi,"Dram,Romantik",1h 29m,Fransızca,-,-
Conan 2 : Savaşçı Conan,29/06/1984 (US),61,Richard Fleischer,,"Macera,Fantastik,Aksiyon",1h 43m,İngilizce,"$18,000,000.00","$28,600,000.00"
Leylekler,23/09/2016 (US),67,Nicholas Stoller,Nicholas Stoller,"Macera,Animasyon,Komedi,Aile",1h 27m,İngilizce,"$70,000,000.00","$182,379,278.00"
Bodrumdaki Kız,27/02/2021 (US),77,Elisabeth Röhm,Leslie Greif,"Gerilim,Suç,TV film",1h 28m,İngilizce,-,-
Özgürlük Yolu,09/04/2008 (TR),78,Sean Penn,,"Macera,Dram",2h 28m,İngilizce,"$15,000,000.00","$56,255,142.00"
Can Dostum,11/05/2012 (TR),83,Éric Toledano,,"Dram,Komedi",1h 52m,Fransızca,"$13,000,000.00","$426,600,000.00"
,25/10/2005 (US),61,Martin Campbell,,"Aksiyon,Macera,Vahşi Batı",2h 9m,İngilizce,"$75,000,000.00","$142,400,000.00"
Beş Kör Randevu,13/02/2024 (AU),56,Shawn Seet,Shuang Hu,"Komedi,Romantik",1h 24m,İngilizce,-,-
,15/07/2005 (TR),75,Frank Miller,Frank Miller,"Gerilim,Aksiyon,Suç",2h 4m,İngilizce,"$40,000,000.00","$158,700,000.00"
Sağlığınızın Kontrolü Sizde: Bağırsaklarınızda Saklı Sırlar,26/04/2024 (US),67,Anjali Nayar,,Belgesel,1h 19m,İngilizce,-,-
Diktatör,18/05/2012 (TR),62,Larry Charles,,Komedi,1h 23m,İngilizce,"$65,000,000.00","$179,400,000.00"
Doraemon,08/08/2014 (JP),73,Takashi Yamazaki,,"Animasyon,Aile,Bilim-Kurgu,Fantastik,Macera",1h 30m,Japonca,"$35,000,000.00","$83,100,000.00"
Annabelle,24/10/2014 (TR),58,John R. Leonetti,Gary Dauberman,Korku,1h 39m,İngilizce,"$6,500,000.00","$257,000,000.00"
Müzede Bir Gece: Lahitteki Sır,02/01/2015 (TR),62,Shawn Levy,,"Macera,Komedi,Fantastik,Aile",1h 37m,İngilizce,"$127,000,000.00","$363,204,635.00"
Bebe,14/12/1995 (AU),62,Chris Noonan,,"Fantastik,Dram,Komedi,Aile",1h 31m,İngilizce,"$30,000,000.00","$254,100,000.00"
With Aunt It's Not a Sin,23/12/1980 (IT),61,Giuseppe Pulieri,Giuseppe Rosati,Komedi,1h 19m,İtalyanca,-,-
Chucky'nin Tohumu,12/11/2004 (US),54,Don Mancini,,"Komedi,Korku",1h 26m,İngilizce,"$12,000,000.00","$24,829,644.00"
Ajan Salt,23/07/2010 (US),64,Phillip Noyce,Kurt Wimmer,"Aksiyon,Gizem,Gerilim",1h 40m,İngilizce,"$110,000,000.00","$293,329,073.00"
Posta Arabası,03/03/1939 (US),76,John Ford,,"Vahşi Batı,Macera",1h 36m,İngilizce,"$531,374.00","$1,103,757.00"
To Your Last Death,17/03/2020 (US),58,Jason Axinn,Jim Cirile,"Animasyon,Korku",1h 31m,İngilizce,"$2,500,000.00",-
Hong Kong Ekspresi,14/07/1994 (HK),80,Wong Kar-wai,,"Dram,Komedi,Romantik",1h 43m,Cantonese,"$160,000.00",-
Yeni Nesil,31/07/2015 (US),71,Kenny Ortega,Josann McGibbon,"Aile,Müzik,Macera,Komedi,Fantastik,TV film",1h 52m,İngilizce,-,-
,26/05/1995 (US),63,Brad Silberling,Deanna Oliver,"Fantastik,Komedi,Aile",1h 40m,İngilizce,"$50,000,000.00","$287,928,194.00"
Bilgisayar Korsanları,14/09/1995 (US),63,Iain Softley,Rafael Moreu,"Aksiyon,Suç,Gerilim,Dram",1h 47m,İngilizce,"$20,000,000.00","$7,563,728.00"
Prenses Gelin,25/09/1987 (US),77,Rob Reiner,,"Macera,Aile,Fantastik,Komedi,Romantik",1h 39m,İngilizce,"$16,000,000.00","$30,900,000.00"
,15/02/2019 (TR),76,Felix van Groeningen,,Dram,1h 59m,İngilizce,"$25,000,000.00","$7,700,000.00"
Snake Eyes: G.I. Joe Origins,06/08/2021 (TR),65,Robert Schwentke,,"Aksiyon,Macera",2h 1m,İngilizce,"$88,000,000.00","$36,964,325.00"
Suçlu,24/09/2021 (US),64,Antoine Fuqua,,"Dram,Gerilim",1h 30m,İngilizce,-,-
Görünmeyen Misafir,30/06/2017 (TR),81,Oriol Paulo,,"Dram,Gizem,Gerilim",1h 47m,İspanyolca; Kastilyaca,"$4,000,000.00","$30,000,000.00"
,01/07/2010 (US),46,M. Night Shyamalan,M. Night Shyamalan,"Aksiyon,Macera,Fantastik",1h 43m,İngilizce,"$150,000,000.00","$319,713,881.00"
Easter Parade,08/07/1948 (US),70,Charles Walters,,"Romantik,Müzik",1h 43m,İngilizce,-,-
Queenpins,10/09/2021 (US),65,Gita Pullapilly,Gita Pullapilly,"Komedi,Suç",1h 50m,İngilizce,"$7,000,000.00",-
Karınca Z,27/11/1998 (TR),62,Eric Darnell,,"Aile,Animasyon,Macera,Komedi",1h 23m,İngilizce,"$60,000,000.00","$171,757,863.00"
Pi'nin Yaşamı,28/12/2012 (TR),74,Ang Lee,,"Macera,Dram",2h 7m,İngilizce,"$120,000,000.00","$609,000,000.00"
,26/09/2020 (FR),81,Thomas Astruc,Thomas Astruc,"Animasyon,TV film,Fantastik,Aksiyon",1h 1m,Fransızca,-,-
Delidolu,11/05/2018 (GB),72,Vince Marcello,,"Romantik,Komedi",1h 45m,İngilizce,-,-
Muhteşem ve Kudretli Oz,08/03/2013 (TR),59,Sam Raimi,,"Fantastik,Macera,Aile",2h 10m,İngilizce,"$200,000,000.00","$491,868,548.00"
Terminatör 3: Makinelerin Yükselişi,25/07/2003 (TR),62,Jonathan Mostow,,"Aksiyon,Gerilim,Bilim-Kurgu",1h 49m,İngilizce,"$200,000,000.00","$435,000,000.00"
Terminal,06/10/2004 (TR),73,Steven Spielberg,,"Komedi,Dram",2h 9m,İngilizce,"$60,000,000.00","$219,417,255.00"
,27/06/2007 (US),66,Len Wiseman,,"Aksiyon,Gerilim",2h 8m,İngilizce,"$110,000,000.00","$383,531,464.00"
SüngerBob KarePantolon: Suyu Süngerle Sil,06/02/2015 (US),61,Paul Tibbitt,,"Aile,Macera,Komedi,Fantastik,Animasyon",1h 32m,İngilizce,"$74,000,000.00","$311,594,032.00"
Hayalimdeki Düğün,30/12/2022 (TR),63,Jason Moore,Mark Hammer,"Aksiyon,Komedi,Romantik",1h 41m,İngilizce,-,"$4,495,365.00"
Koruyucu,15/01/2021 (US),69,Robert Lorenz,Robert Lorenz,"Aksiyon,Dram,Gerilim",1h 48m,İngilizce,"$23,000,000.00","$23,076,711.00"
Murder Mystery 2,31/03/2023 (TR),64,Jeremy Garelick,James Vanderbilt,"Gizem,Komedi,Suç",1h 31m,İngilizce,-,-
,03/02/2012 (JP),72,Toshiyuki Kubooka,Ichirou Ookouchi,"Aksiyon,Macera,Fantastik,Animasyon",1h 16m,Japonca,-,-
Şeker Adamın Laneti,16/10/1992 (US),66,Bernard Rose,,"Dram,Korku,Gerilim",1h 40m,İngilizce,"$6,000,000.00","$25,792,310.00"
Need For Speed: Hız Tutkusu,14/03/2014 (TR),64,Scott Waugh,,"Aksiyon,Suç,Dram,Gerilim",2h 12m,İngilizce,"$66,000,000.00","$203,277,636.00"
Adipurush,16/06/2023 (IN),53,Om Raut,,"Aksiyon,Macera,Fantastik",2h 59m,Hintçe,"$63,000,000.00","$43,000,000.00"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,25/11/2022 (JP),73,Yasuhito Kikuchi,,"Animasyon,Fantastik,Macera",1h 48m,Japonca,-,"$11,426,555.00"
Troller Dünya Turu,10/04/2020 (US),73,Walt Dohrn,,"Aile,Animasyon,Komedi,Fantastik,Macera,Müzik",1h 30m,İngilizce,"$90,000,000.00","$49,276,818.00"
Mumya Evi,08/07/2005 (TR),60,Jaume Collet-Serra,,"Gizem,Korku,Gerilim",1h 53m,İngilizce,"$40,000,000.00","$68,766,121.00"
Küçük Kadınlar,14/02/2020 (TR),79,Greta Gerwig,Greta Gerwig,"Dram,Romantik",2h 15m,İngilizce,"$40,000,000.00","$216,600,000.00"
Rio 2,10/04/2014 (TR),65,Carlos Saldanha,,"Animasyon,Macera,Komedi,Aile",1h 42m,İngilizce,"$103,000,000.00","$500,200,000.00"
Testere 4,26/10/2007 (TR),62,Darren Lynn Bousman,,"Korku,Gerilim,Suç",1h 33m,İngilizce,"$10,000,000.00","$139,352,633.00"
Sihirbazlar Çetesi 2,10/06/2016 (US),68,Jon M. Chu,,"Suç,Gerilim,Aksiyon,Gizem",1h 55m,İngilizce,"$120,000,000.00","$334,900,000.00"
Mumyalar,24/02/2023 (ES),70,Juan Jesús García Galocha,,"Animasyon,Macera,Fantastik",1h 28m,İspanyolca; Kastilyaca,"$12,000,000.00","$53,400,000.00"
6 Underground,13/12/2019 (TR),63,Michael Bay,Rhett Reese,"Aksiyon,Komedi,Gerilim",2h 7m,İngilizce,"$150,000,000.00",-
